
Hybridizer,R 13,Name,Year,Type,1,2,3,4,5,6
"Aitken, Terry",Ÿ,Bat Wings,2013,SIB,,,,,,
,,Burgundy Firewoorks,2013,SIB,Ÿ,Ÿ,Ÿ,Ÿ,Ÿ,Ÿ
,,Pacific Tapestry,2010,PCI,Ÿ,Ÿ,,,,Ÿ
,,Pacific Pixie,2013,PCI,Ÿ,Ÿ, , ,  Ÿ,Ÿ
"Baker, Ted",Ÿ,,,,,,, , ,
,,B-07-111,,PCI,Ÿ,Ÿ,,,,Ÿ
,,B-07-133,,PCI,Ÿ,Ÿ,,,,Ÿ
,,B-07-144,,PCI,Ÿ,Ÿ,,,,Ÿ
Bob Baurer/John Coble,,,,,,,,,,
,,Blueberry Brandy,2009,SIB,Ÿ,Ÿ,,,,Ÿ
,,Concord Crush,2010,SIB,Ÿ,Ÿ,,,,Ÿ
,,First Frost,2013,SIB,Ÿ,Ÿ,,,,Ÿ
,,Old Vine Zen,2013,SIB,Ÿ,Ÿ,,,,Ÿ
"Betzer, Ron",,,,,,,,,,
,,Rooster,2014,LA,Ÿ,Ÿ,,,,
"Butler, Rita",Ÿ,,,,,,,,,
,,More Raspberries Please,,VERS,Ÿ,Ÿ,Ÿ,Ÿ,Ÿ,Ÿ
"Cole, Deborah",Ÿ,,,,,,,,,
,,Egocentric,2007,PCI,Ÿ,Ÿ,,Ÿ,Ÿ,Ÿ
,,Periwinkle Persian,2006,PCI,Ÿ,Ÿ,,Ÿ,Ÿ,Ÿ
,,Red Delicious,,PCI,Ÿ,Ÿ,,Ÿ,Ÿ,Ÿ
,,Scarlet Woman,,PCI,Ÿ,Ÿ,Ÿ,,Ÿ,Ÿ
 ,,Susanna Wept,,PCI,Ÿ,Ÿ,Ÿ,,Ÿ,Ÿ
"Copeland, Jill",,,, ,,,,,,
 ,,Do The Math,2008,VERS,Ÿ,Ÿ,,,Ÿ,Ÿ
,,Fisherman's Twilight,2014,SIB,Ÿ,Ÿ,,Ÿ,Ÿ,Ÿ
 ,,HP-2,,PSEU,Ÿ,Ÿ,,Ÿ,Ÿ,Ÿ
 ,,IKXGV-1,,LA,Ÿ,Ÿ,,,Ÿ,Ÿ
 ,,IKXGV-2,,LA,Ÿ,Ÿ,,Ÿ,Ÿ,Ÿ
 ,,Lemony Snicket,,PSEU,Ÿ,Ÿ,,,Ÿ,Ÿ
